id,exc_numb,req_id,school_type,points,req_year,exam_year,exam_type
0,1,1.7,high,1.0,2023,2023,main
1,2,1.4,high,1.0,2023,2023,main
2,3,1.2,high,2.0,2023,2023,main
3,4,1.1,high,1.0,2023,2023,main
4,5,2.1,high,1.0,2023,2023,main
5,6,3.3,high,1.0,2023,2023,main
6,7,3.5,high,1.0,2023,2023,main
7,8,3.6,high,1.0,2023,2023,main
8,9,3.5,high,3.0,2023,2023,main
9,10,4.1,high,1.0,2023,2023,main
10,11,4.2,high,2.0,2023,2023,main
11,12.1,5.4,high,1.0,2023,2023,main
12,12.2,5.4,high,1.0,2023,2023,main
13,12.3,5.4,high,1.0,2023,2023,main
14,13,5.5,high,1.0,2023,2023,main
15,14,5.11,high,1.0,2023,2023,main
16,15,6.1,high,1.0,2023,2023,main
17,16,6.6,high,1.0,2023,2023,main
18,17,6.4,high,2.0,2023,2023,main
19,18,7.1,high,1.0,2023,2023,main
20,19,7.2,high,1.0,2023,2023,main
21,20,8.4,high,1.0,2023,2023,main
22,21,8.5,high,1.0,2023,2023,main
23,22,8.8,high,2.0,2023,2023,main
24,23,9.1,high,1.0,2023,2023,main
25,24,9.2,high,1.0,2023,2023,main
26,25,10.2,high,0.33,2023,2023,main
27,25,10.3,high,0.33,2023,2023,main
28,25,7.4,high,0.33,2023,2023,main
29,26,10.4,high,4.0,2023,2023,main
30,27,11.1,high,1.0,2023,2023,main
31,28,11.1,high,1.0,2023,2023,main
32,29,12.2,high,2.0,2023,2023,main
33,30,12.1,high,2.0,2023,2023,main
34,31.1,5.3,high,0.5,2023,2023,main
35,31.1,5.2,high,0.5,2023,2023,main
36,31.2,13,high,2.0,2023,2023,main
37,1,1.7,high,1.0,2023,2023,additional
38,2,1.4,high,1.0,2023,2023,additional
39,3,1.2,high,2.0,2023,2023,additional
40,4,1.8,high,1.0,2023,2023,additional
41,5,1.9,high,1.0,2023,2023,additional
42,6,2.1,high,1.0,2023,2023,additional
43,7,2.5,high,1.0,2023,2023,additional
44,8,3.4,high,2.0,2023,2023,additional
45,9,3.5,high,3.0,2023,2023,additional
46,10,3.6,high,1.0,2023,2023,additional
47,11,5.5,high,1.0,2023,2023,additional
48,12,5.6,high,1.0,2023,2023,additional
49,13.1,5.4,high,2.0,2023,2023,additional
50,13.2,5.4,high,1.0,2023,2023,additional
51,14,5.8,high,1.0,2023,2023,additional
52,15.1,5.13,high,1.0,2023,2023,additional
53,15.2,6.5,high,1.0,2023,2023,additional
54,16,3.3,high,1.0,2023,2023,additional
55,17,6.4,high,1.0,2023,2023,additional
56,18,6.5,high,1.0,2023,2023,additional
57,19,7.2,high,1.0,2023,2023,additional
58,20,7.3,high,2.0,2023,2023,additional
59,21,8.1,high,1.0,2023,2023,additional
60,22,8.4,high,1.0,2023,2023,additional
61,23,8.5,high,1.0,2023,2023,additional
62,24,8.9,high,1.0,2023,2023,additional
63,25,8.11,high,1.0,2023,2023,additional
64,26,9.2,high,1.0,2023,2023,additional
65,27,9.3,high,1.0,2023,2023,additional
66,28,10.4,high,1.0,2023,2023,additional
67,29.1,10.4,high,1.0,2023,2023,additional
68,29.2,10.2,high,1.0,2023,2023,additional
69,30,10.4,high,1.0,2023,2023,additional
70,31,11.1,high,1.0,2023,2023,additional
71,32,12.1,high,2.0,2023,2023,additional
72,33,13,high,4.0,2023,2023,additional
73,1,1.7,high,1.0,2023,2024,main
74,2,1.4,high,1.0,2023,2024,main
75,3,1.2,high,2.0,2023,2024,main
76,4,1.1,high,1.0,2023,2024,main
77,5,2.1,high,1.0,2023,2024,main
78,6,3.3,high,1.0,2023,2024,main
79,7,3.6,high,1.0,2023,2024,main
80,8,2.2,high,0.5,2023,2024,main
81,8,3.5,high,0.5,2023,2024,main
82,9,3.5,high,3.0,2023,2024,main
83,10,4.2,high,1.0,2023,2024,main
84,11,4.1,high,1.0,2023,2024,main
85,12,5.5,high,1.0,2023,2024,main
86,13,5.6,high,1.0,2023,2024,main
87,14.1,5.4,high,1.0,2023,2024,main
88,14.2,5.9,high,1.0,2023,2024,main
89,14.3,5.3,high,1.0,2023,2024,main
90,14.4,5.12,high,2.0,2023,2024,main
91,15,6.1,high,1.0,2023,2024,main
92,16,6.2,high,0.5,2023,2024,main
93,16,6.6,high,0.5,2023,2024,main
94,17,6.4,high,2.0,2023,2024,main
95,18,7.1,high,1.0,2023,2024,main
96,18,7.2,high,1.0,2023,2024,main
97,19,7.2,high,1.0,2023,2024,main
