id,exc_numb,req_id,school_type,points,req_year,exam_year,exam_type
0,1,1.8,high,1.0,2015,2015,main
1,2,1.6,high,1.0,2015,2015,main
2,3,1.9,high,1.0,2015,2015,main
3,4,2.1,high,1.0,2015,2015,main
4,5,3.2,high,1.0,2015,2015,main
5,6,3.7,high,1.0,2015,2015,main
6,7,3.8,high,1.0,2015,2015,main
7,8,4.3,high,1.0,2015,2015,main
8,9,4.6,high,1.0,2015,2015,main
9,10,4.7,high,1.0,2015,2015,main
10,11,4.9,high,1.0,2015,2015,main
11,12,3.3,high,1.0,2015,2015,main
12,13,5.4,high,1.0,2015,2015,main
13,14,6.1,high,1.0,2015,2015,main
14,15,6.4,high,1.0,2015,2015,main
15,16,7.1,high,1.0,2015,2015,main
16,17,7.4,high,1.0,2015,2015,main
17,18,8.2,high,1.0,2015,2015,main
18,19,8.2,high,1.0,2015,2015,main
19,20,8.5,high,0.5,2015,2015,main
20,20,8.7,high,0.5,2015,2015,main
21,21,9.2,high,1.0,2015,2015,main
22,22,9.6,high,1.0,2015,2015,main
23,23,9.6,high,1.0,2015,2015,main
24,24,10.1,high,1.0,2015,2015,main
25,25,10.3,high,1.0,2015,2015,main
26,26,3.5,high,2.0,2015,2015,main
27,27,2.1,high,2.0,2015,2015,main
28,28,10.9,middle,2.0,2015,2015,main
29,29,4.11,high,2.0,2015,2015,main
30,30,8.1,high,2.0,2015,2015,main
31,31,7.7,middle,1.0,2015,2015,main
32,31,7.6,middle,1.0,2015,2015,main
33,32,9.6,high,4.0,2015,2015,main
34,33,10.3,high,4.0,2015,2015,main
35,34,5.3,high,2.5,2015,2015,main
36,34,5.4,high,2.5,2015,2015,main
37,1,1.4,high,1.0,2015,2016,main
38,2,1.6,high,1.0,2015,2016,main
39,3,1.9,high,1.0,2015,2016,main
40,4,2.1,high,1.0,2015,2016,main
41,5,3.1,high,1.0,2015,2016,main
42,6,8.4,high,1.0,2015,2016,main
43,7,7.1,high,1.0,2015,2016,main
44,8,4.2,high,1.0,2015,2016,main
45,9,3.8,high,1.0,2015,2016,main
46,10,4.3,high,1.0,2015,2016,main
47,11,4.3,high,1.0,2015,2016,main
48,12,4.2,high,1.0,2015,2016,main
49,13,6.2,high,1.0,2015,2016,main
50,14,5.3,high,1.0,2015,2016,main
51,15,5.2,high,1.0,2015,2016,main
52,16,7.3,high,1.0,2015,2016,main
53,17,6.5,high,1.0,2015,2016,main
54,18,9.2,primary,1.0,2015,2016,main
55,19,7.2,high,1.0,2015,2016,main
56,20,8.2,high,1.0,2015,2016,main
57,21,8.6,high,1.0,2015,2016,main
58,22,10.3,high,1.0,2015,2016,main
59,23,9.3,high,1.0,2015,2016,main
60,24,9.2,high,1.0,2015,2016,main
61,25,9.4,middle,1.0,2015,2016,main
62,26,9.4,middle,1.0,2015,2016,main
63,26,1.7,high,1.0,2015,2016,main
64,27,3.5,high,2.0,2015,2016,main
65,28,3.7,high,2.0,2015,2016,main
66,29,7.3,high,2.0,2015,2016,main
67,30,2.1,high,2.0,2015,2016,main
68,31,1.6,high,1.0,2015,2016,main
69,31,1.5,high,1.0,2015,2016,main
70,32,9.3,primary,2.0,2015,2016,main
71,32,7.3,middle,2.0,2015,2016,main
72,33,9.6,high,2.5,2015,2016,main
73,33,10.7,middle,2.5,2015,2016,main
74,34,10.3,high,4.0,2015,2016,main
75,1,1.4,high,1.0,2015,2017,main
76,2,1.3,high,1.0,2015,2017,main
77,3,1.6,high,1.0,2015,2017,main
78,4,1.9,high,1.0,2015,2017,main
79,5,3.4,high,1.0,2015,2017,main
80,6,3.1,high,1.0,2015,2017,main
81,7,3.3,high,1.0,2015,2017,main
82,8,3.7,high,1.0,2015,2017,main
83,9,4.2,high,1.0,2015,2017,main
84,10,4.10,high,1.0,2015,2017,main
85,11,4.14,high,1.0,2015,2017,main
86,12,5.3,high,1.0,2015,2017,main
87,13,5.4,high,1.0,2015,2017,main
88,14,6.4,high,1.0,2015,2017,main
89,15,7.1,high,1.0,2015,2017,main
90,16,7.3,high,1.0,2015,2017,main
91,17,7.4,high,1.0,2015,2017,main
92,18,6.1,high,1.0,2015,2017,main
93,19,8.2,high,1.0,2015,2017,main
94,20,8.6,high,1.0,2015,2017,main
95,21,11.2,middle,0.5,2015,2017,main
96,21,3.4,high,0.5,2015,2017,main
97,22,9.3,high,1.0,2015,2017,main
98,23,11.2,middle,1.0,2015,2017,main
99,24,9.4,middle,1.0,2015,2017,main
100,25,10.3,high,1.0,2015,2017,main
101,26,3.5,high,2.0,2015,2017,main
102,27,1.5,high,2.0,2015,2017,main
103,28,10.3,middle,1.0,2015,2017,main
104,28,9.3,primary,1.0,2015,2017,main
105,29,4.9,high,4.0,2015,2017,main
106,30,10.7,middle,1.0,2015,2017,main
107,30,3.4,high,1.0,2015,2017,main
108,31,5.3,high,2.0,2015,2017,main
109,32,8.1,high,2.5,2015,2017,main
110,32,8.4,high,2.5,2015,2017,main
111,33,10.3,high,2.0,2015,2017,main
112,34,9.1,high,1.0,2015,2017,main
113,34,9.2,high,1.0,2015,2017,main
114,34,9.4,high,1.0,2015,2017,main
115,34,9.6,high,1.0,2015,2017,main
116,1,1.6,high,1.0,2015,2018,main
117,2,1.3,high,1.0,2015,2018,main
118,3,1.4,high,1.0,2015,2018,main
119,4,1.9,high,1.0,2015,2018,main
120,5,3.3,high,1.0,2015,2018,main
121,6,4.10,high,1.0,2015,2018,main
122,7,3.8,high,1.0,2015,2018,main
123,8,4.7,high,1.0,2015,2018,main
124,9,4.8,high,1.0,2015,2018,main
125,10,4.6,high,1.0,2015,2018,main
126,11,5.2,high,1.0,2015,2018,main
127,12,5.3,high,1.0,2015,2018,main
128,13,5.4,high,1.0,2015,2018,main
129,14,6.2,high,1.0,2015,2018,main
130,15,7.3,high,1.0,2015,2018,main
131,16,7.1,high,1.0,2015,2018,main
132,17,7.4,high,1.0,2015,2018,main
133,18,8.5,high,1.0,2015,2018,main
134,19,8.2,high,1.0,2015,2018,main
135,20,9.1,high,1.0,2015,2018,main
136,21,9.2,high,1.0,2015,2018,main
137,22,11.2,middle,1.0,2015,2018,main
138,23,10.1,high,1.0,2015,2018,main
139,24,10.2,high,1.0,2015,2018,main
140,25,10.3,high,1.0,2015,2018,main
141,26,3.5,high,2.0,2015,2018,main
142,27,3.7,high,2.0,2015,2018,main
143,28,2.1,high,2.0,2015,2018,main
144,29,7.2,high,4.0,2015,2018,main
145,30,4.14,high,1.0,2015,2018,main
146,30,4.4,high,1.0,2015,2018,main
147,31,5.3,high,2.0,2015,2018,main
148,32,8.1,high,1.67,2015,2018,main
149,32,8.3,high,1.67,2015,2018,main
150,32,8.4,high,1.67,2015,2018,main
151,33,10.3,high,2.0,2015,2018,main
152,34,11.2,middle,2.0,2015,2018,main
153,34,3.4,high,2.0,2015,2018,main
154,1,1.6,high,1.0,2015,2019,main
155,2,1.4,high,1.0,2015,2019,main
156,3,1.9,high,1.0,2015,2019,main
157,4,3.1,high,1.0,2015,2019,main
158,5,3.2,high,1.0,2015,2019,main
159,6,3.8,high,1.0,2015,2019,main
160,7,4.2,high,1.0,2015,2019,main
161,8,4.3,high,1.0,2015,2019,main
162,9,4.3,high,1.0,2015,2019,main
163,10,4.12,high,1.0,2015,2019,main
164,11,5.3,high,1.0,2015,2019,main
165,12,5.4,high,1.0,2015,2019,main
166,13,6.5,high,1.0,2015,2019,main
167,14,7.1,high,1.0,2015,2019,main
168,15,7.3,high,1.0,2015,2019,main
