id,req_id,perc,exc_numb,school_type,req_year,exam_year,exam_type
0,1.7,0.73,1.0,high,2023,2023,main
1,1.4,0.83,2.0,high,2023,2023,main
2,1.2,0.43,3.0,high,2023,2023,main
3,1.1,0.89,4.0,high,2023,2023,main
4,2.1,0.75,5.0,high,2023,2023,main
5,3.3,0.7,6.0,high,2023,2023,main
6,3.5,0.83,7.0,high,2023,2023,main
7,3.6,0.76,8.0,high,2023,2023,main
8,3.5,0.77,9.0,high,2023,2023,main
9,4.1,0.85,10.0,high,2023,2023,main
10,4.2,0.91,11.0,high,2023,2023,main
11,5.4,0.91,12.1,high,2023,2023,main
12,5.4,0.64,12.2,high,2023,2023,main
13,5.4,0.94,12.3,high,2023,2023,main
14,5.5,0.79,13.0,high,2023,2023,main
15,5.11,0.78,14.0,high,2023,2023,main
16,6.1,0.95,15.0,high,2023,2023,main
17,6.6,0.85,16.0,high,2023,2023,main
18,6.4,0.48,17.0,high,2023,2023,main
19,7.1,0.82,18.0,high,2023,2023,main
20,7.2,0.5,19.0,high,2023,2023,main
21,8.4,0.63,20.0,high,2023,2023,main
22,8.5,0.73,21.0,high,2023,2023,main
23,8.8,0.75,22.0,high,2023,2023,main
24,9.1,0.75,23.0,high,2023,2023,main
25,9.2,0.75,24.0,high,2023,2023,main
26,10.2,0.63,25.0,high,2023,2023,main
27,10.3,0.63,25.0,high,2023,2023,main
28,7.4,0.63,25.0,high,2023,2023,main
29,10.4,0.53,26.0,high,2023,2023,main
30,11.1,0.88,27.0,high,2023,2023,main
31,11.1,0.81,28.0,high,2023,2023,main
32,12.2,0.68,29.0,high,2023,2023,main
33,12.1,0.69,30.0,high,2023,2023,main
34,5.3,0.57,31.1,high,2023,2023,main
35,5.2,0.57,31.1,high,2023,2023,main
36,13,0.53,31.2,high,2023,2023,main
37,1.7,0.83,1.0,high,2023,2024,main
38,1.4,0.76,2.0,high,2023,2024,main
39,1.2,0.56,3.0,high,2023,2024,main
40,1.1,0.74,4.0,high,2023,2024,main
41,2.1,0.79,5.0,high,2023,2024,main
42,3.3,0.63,6.0,high,2023,2024,main
43,3.6,0.82,7.0,high,2023,2024,main
44,2.2,0.84,8.0,high,2023,2024,main
45,3.5,0.84,8.0,high,2023,2024,main
46,3.5,0.79,9.0,high,2023,2024,main
47,4.2,0.57,10.0,high,2023,2024,main
48,4.1,0.71,11.0,high,2023,2024,main
49,5.5,0.57,12.0,high,2023,2024,main
50,5.6,0.65,13.0,high,2023,2024,main
51,5.4,0.53,14.1,high,2023,2024,main
52,5.9,0.79,14.2,high,2023,2024,main
53,5.3,0.62,14.3,high,2023,2024,main
54,5.12,0.55,14.4,high,2023,2024,main
55,6.1,0.77,15.0,high,2023,2024,main
56,6.2,0.78,16.0,high,2023,2024,main
57,6.6,0.78,16.0,high,2023,2024,main
58,6.4,0.4,17.0,high,2023,2024,main
59,7.1,0.61,18.0,high,2023,2024,main
60,7.2,0.61,18.0,high,2023,2024,main
61,7.2,0.6,19.0,high,2023,2024,main
62,8.7,0.7,20.0,high,2023,2024,main
63,8.11,0.77,21.0,high,2023,2024,main
64,8.5,0.64,22.0,high,2023,2024,main
65,9.2,0.66,23.0,high,2023,2024,main
66,9.3,0.41,24.0,high,2023,2024,main
67,10.4,0.7,25.1,high,2023,2024,main
68,10.2,0.8,25.2,high,2023,2024,main
69,10.5,0.23,26.0,high,2023,2024,main
70,11.2,0.85,27.0,high,2023,2024,main
71,12.2,0.74,28.0,high,2023,2024,main
72,12.2,0.78,29.0,high,2023,2024,main
73,12.1,0.64,30.0,high,2023,2024,main
74,13,0.35,31.0,high,2023,2024,main
