id,req_id,perc,exc_numb,school_type,req_year,exam_year,exam_type
0,1.8,0.78,1,high,2015,2015,main
1,1.6,0.83,2,high,2015,2015,main
2,1.9,0.49,3,high,2015,2015,main
3,2.1,0.8,4,high,2015,2015,main
4,3.2,0.54,5,high,2015,2015,main
5,3.7,0.85,6,high,2015,2015,main
6,3.8,0.66,7,high,2015,2015,main
7,4.3,0.22,8,high,2015,2015,main
8,4.6,0.8,9,high,2015,2015,main
9,4.7,0.62,10,high,2015,2015,main
10,4.9,0.75,11,high,2015,2015,main
11,3.3,0.7,12,high,2015,2015,main
12,5.4,0.66,13,high,2015,2015,main
13,6.1,0.7,14,high,2015,2015,main
14,6.4,0.67,15,high,2015,2015,main
15,7.1,0.72,16,high,2015,2015,main
16,7.4,0.59,17,high,2015,2015,main
17,8.2,0.77,18,high,2015,2015,main
18,8.2,0.73,19,high,2015,2015,main
19,8.5,0.68,20,high,2015,2015,main
20,8.7,0.68,20,high,2015,2015,main
21,9.2,0.74,21,high,2015,2015,main
22,9.6,0.82,22,high,2015,2015,main
23,9.6,0.66,23,high,2015,2015,main
24,10.1,0.89,24,high,2015,2015,main
25,10.3,0.47,25,high,2015,2015,main
26,3.5,0.68,26,high,2015,2015,main
27,2.1,0.18,27,high,2015,2015,main
28,10.9,0.32,28,middle,2015,2015,main
29,4.11,0.51,29,high,2015,2015,main
30,8.1,0.41,30,high,2015,2015,main
31,7.7,0.37,31,middle,2015,2015,main
32,7.6,0.37,31,middle,2015,2015,main
33,9.6,0.46,32,high,2015,2015,main
34,10.3,0.47,33,high,2015,2015,main
35,5.3,0.31,34,high,2015,2015,main
36,5.4,0.31,34,high,2015,2015,main
37,1.4,0.76,1,high,2015,2016,main
38,1.6,0.68,2,high,2015,2016,main
39,1.9,0.6,3,high,2015,2016,main
40,2.1,0.73,4,high,2015,2016,main
41,3.1,0.7,5,high,2015,2016,main
42,8.4,0.71,6,high,2015,2016,main
43,7.1,0.88,7,high,2015,2016,main
44,4.2,0.72,8,high,2015,2016,main
45,3.8,0.73,9,high,2015,2016,main
46,4.3,0.81,10,high,2015,2016,main
47,4.3,0.78,11,high,2015,2016,main
48,4.2,0.6,12,high,2015,2016,main
49,6.2,0.58,13,high,2015,2016,main
50,5.3,0.69,14,high,2015,2016,main
51,5.2,0.66,15,high,2015,2016,main
52,7.3,0.85,16,high,2015,2016,main
53,6.5,0.81,17,high,2015,2016,main
54,9.2,0.66,18,primary,2015,2016,main
55,7.2,0.6,19,high,2015,2016,main
56,8.2,0.65,20,high,2015,2016,main
57,8.6,0.87,21,high,2015,2016,main
58,10.3,0.53,22,high,2015,2016,main
59,9.3,0.68,23,high,2015,2016,main
60,9.2,0.6,24,high,2015,2016,main
61,9.4,0.64,25,middle,2015,2016,main
62,9.4,0.6,26,middle,2015,2016,main
63,1.7,0.6,26,high,2015,2016,main
64,3.5,0.6,27,high,2015,2016,main
65,3.7,0.66,28,high,2015,2016,main
66,7.3,0.3,29,high,2015,2016,main
67,2.1,0.23,30,high,2015,2016,main
68,1.6,0.34,31,high,2015,2016,main
69,1.5,0.34,31,high,2015,2016,main
70,9.3,0.56,32,primary,2015,2016,main
71,7.3,0.56,32,middle,2015,2016,main
72,9.6,0.32,33,high,2015,2016,main
73,10.7,0.32,33,middle,2015,2016,main
74,10.3,0.31,34,high,2015,2016,main
75,1.4,0.74,1,high,2015,2017,main
76,1.3,0.43,2,high,2015,2017,main
77,1.6,0.72,3,high,2015,2017,main
78,1.9,0.58,4,high,2015,2017,main
79,3.4,0.47,5,high,2015,2017,main
80,3.1,0.64,6,high,2015,2017,main
81,3.3,0.8,7,high,2015,2017,main
82,3.7,0.65,8,high,2015,2017,main
83,4.2,0.64,9,high,2015,2017,main
84,4.10,0.61,10,high,2015,2017,main
85,4.14,0.79,11,high,2015,2017,main
86,5.3,0.93,12,high,2015,2017,main
87,5.4,0.74,13,high,2015,2017,main
88,6.4,0.72,14,high,2015,2017,main
89,7.1,0.86,15,high,2015,2017,main
90,7.3,0.82,16,high,2015,2017,main
91,7.4,0.63,17,high,2015,2017,main
92,6.1,0.62,18,high,2015,2017,main
93,8.2,0.67,19,high,2015,2017,main
94,8.6,0.69,20,high,2015,2017,main
95,1.2,0.64,21,high,2015,2017,main
96,3.4,0.64,21,high,2015,2017,main
97,9.3,0.76,22,high,2015,2017,main
98,11.2,0.87,23,middle,2015,2017,main
99,9.4,0.94,24,middle,2015,2017,main
100,10.3,0.62,25,high,2015,2017,main
101,3.5,0.66,26,high,2015,2017,main
102,1.5,0.36,27,high,2015,2017,main
103,10.3,0.21,28,middle,2015,2017,main
104,9.3,0.21,28,primary,2015,2017,main
105,4.9,0.26,29,high,2015,2017,main
106,10.7,0.6,30,middle,2015,2017,main
107,3.4,0.6,30,high,2015,2017,main
108,5.3,0.65,31,high,2015,2017,main
109,8.1,0.31,32,high,2015,2017,main
110,8.4,0.31,32,high,2015,2017,main
111,10.3,0.6,33,high,2015,2017,main
112,9.1,0.23,34,high,2015,2017,main
113,9.2,0.23,34,high,2015,2017,main
114,9.4,0.23,34,high,2015,2017,main
115,9.6,0.23,34,high,2015,2017,main
116,1.6,0.73,1,high,2015,2018,main
117,1.3,0.68,2,high,2015,2018,main
118,1.4,0.73,3,high,2015,2018,main
119,1.9,0.87,4,high,2015,2018,main
120,3.3,0.7,5,high,2015,2018,main
121,4.10,0.8,6,high,2015,2018,main
122,3.8,0.47,7,high,2015,2018,main
123,4.7,0.77,8,high,2015,2018,main
124,4.8,0.8,9,high,2015,2018,main
125,4.6,0.66,10,high,2015,2018,main
126,5.2,0.69,11,high,2015,2018,main
127,5.3,0.86,12,high,2015,2018,main
128,5.4,0.63,13,high,2015,2018,main
129,6.2,0.7,14,high,2015,2018,main
130,7.3,0.61,15,high,2015,2018,main
131,7.1,0.78,16,high,2015,2018,main
132,7.4,0.72,17,high,2015,2018,main
133,8.5,0.63,18,high,2015,2018,main
134,8.2,0.82,19,high,2015,2018,main
135,9.1,0.6,20,high,2015,2018,main
136,9.2,0.66,21,high,2015,2018,main
137,11.2,0.6,22,middle,2015,2018,main
138,10.1,0.33,23,high,2015,2018,main
139,10.2,0.42,24,high,2015,2018,main
140,10.3,0.9,25,high,2015,2018,main
141,3.5,0.73,26,high,2015,2018,main
142,3.7,0.62,27,high,2015,2018,main
143,2.1,0.21,28,high,2015,2018,main
144,7.2,0.2,29,high,2015,2018,main
145,4.14,0.46,30,high,2015,2018,main
146,4.4,0.46,30,high,2015,2018,main
147,5.3,0.63,31,high,2015,2018,main
148,8.1,0.29,32,high,2015,2018,main
149,8.3,0.29,32,high,2015,2018,main
150,8.4,0.29,32,high,2015,2018,main
151,10.3,0.67,33,high,2015,2018,main
152,11.2,0.34,34,middle,2015,2018,main
153,3.4,0.34,34,high,2015,2018,main
154,1.6,0.74,1,high,2015,2019,main
155,1.4,0.33,2,high,2015,2019,main
156,1.9,0.67,3,high,2015,2019,main
157,3.1,0.58,4,high,2015,2019,main
158,3.2,0.9,5,high,2015,2019,main
159,3.8,0.73,6,high,2015,2019,main
160,4.2,0.66,7,high,2015,2019,main
161,4.3,0.79,8,high,2015,2019,main
162,4.3,0.67,9,high,2015,2019,main
163,4.12,0.72,10,high,2015,2019,main
164,5.3,0.86,11,high,2015,2019,main
165,5.4,0.67,12,high,2015,2019,main
166,6.5,0.86,13,high,2015,2019,main
167,7.1,0.7,14,high,2015,2019,main
168,7.3,0.62,15,high,2015,2019,main
169,7.4,0.68,16,high,2015,2019,main
170,8.2,0.8,17,high,2015,2019,main
171,8.3,0.7,18,high,2015,2019,main
172,8.7,0.47,19,high,2015,2019,main
173,8.6,0.62,20,high,2015,2019,main
174,9.5,0.73,21,high,2015,2019,main
175,10.7,0.73,21,middle,2015,2019,main
176,1.2,0.75,22,high,2015,2019,main
177,9.4,0.67,23,middle,2015,2019,main
178,10.2,0.74,24,high,2015,2019,main
179,10.3,0.81,25,high,2015,2019,main
180,3.7,0.74,26,high,2015,2019,main
181,3.5,0.76,27,high,2015,2019,main
182,2.1,0.2,28,high,2015,2019,main
183,9.3,0.19,29,primary,2015,2019,main
184,9.1,0.19,29,primary,2015,2019,main
185,10.3,0.62,30,high,2015,2019,main
186,7.4,0.59,31,high,2015,2019,main
187,5.3,0.58,32,high,2015,2019,main
188,8.3,0.24,33,high,2015,2019,main
189,8.4,0.24,33,high,2015,2019,main
190,8.5,0.24,33,high,2015,2019,main
191,9.2,0.45,34,high,2015,2019,main
192,6.1,0.45,34,high,2015,2019,main
193,2.1,0.74,1,high,2015,2020,main
194,1.4,0.61,2,high,2015,2020,main
195,1.6,0.76,3,high,2015,2020,main
196,1.9,0.79,4,high,2015,2020,main
197,3.3,0.65,5,high,2015,2020,main
198,3.7,0.64,6,high,2015,2020,main
199,4.10,0.65,7,high,2015,2020,main
200,4.11,0.79,8,high,2015,2020,main
201,4.12,0.77,9,high,2015,2020,main
202,3.1,0.77,10,high,2015,2020,main
203,4.7,0.61,11,high,2015,2020,main
204,4.2,0.68,12,high,2015,2020,main
205,8.2,0.78,13,high,2015,2020,main
206,5.1,0.8,14,high,2015,2020,main
207,5.3,0.88,15,high,2015,2020,main
208,4.6,0.69,16,high,2015,2020,main
209,7.1,0.8,17,high,2015,2020,main
210,8.1,0.75,18,high,2015,2020,main
211,6.1,0.68,19,high,2015,2020,main
212,8.6,0.64,20,high,2015,2020,main
213,10.2,0.84,21,high,2015,2020,main
214,10.9,0.58,22,middle,2015,2020,main
215,9.4,0.68,23,middle,2015,2020,main
216,11.2,0.65,24,middle,2015,2020,main
217,11.2,0.69,25,middle,2015,2020,main
218,3.5,0.57,26,high,2015,2020,main
219,3.7,0.62,27,high,2015,2020,main
220,2.1,0.2,28,high,2015,2020,main
221,7.1,0.16,29,high,2015,2020,main
222,9.1,0.16,29,primary,2015,2020,main
223,10.3,0.53,30,high,2015,2020,main
224,6.4,0.39,31,high,2015,2020,main
225,8.3,0.22,32,high,2015,2020,main
