id,school_type,req_id,req_year
0,high,1.1,2015
1,high,1.2,2015
2,high,1.3,2015
3,high,1.4,2015
4,high,1.5,2015
5,high,1.6,2015
6,high,1.7,2015
7,high,1.8,2015
8,high,1.9,2015
9,high,2.1,2015
10,high,3.1,2015
11,high,3.2,2015
12,high,3.3,2015
13,high,3.4,2015
14,high,3.5,2015
15,high,3.6,2015
16,high,3.7,2015
17,high,3.8,2015
18,high,4.1,2015
19,high,4.2,2015
20,high,4.3,2015
21,high,4.4,2015
22,high,4.5,2015
23,high,4.6,2015
24,high,4.7,2015
25,high,4.8,2015
26,high,4.9,2015
27,high,4.10,2015
28,high,4.11,2015
29,high,4.12,2015
30,high,4.13,2015
31,high,4.14,2015
32,high,4.15,2015
33,high,5.1,2015
34,high,5.2,2015
35,high,5.3,2015
36,high,5.4,2015
37,high,6.1,2015
38,high,6.2,2015
39,high,6.3,2015
40,high,6.4,2015
41,high,6.5,2015
42,high,7.1,2015
43,high,7.2,2015
44,high,7.3,2015
45,high,7.4,2015
46,high,8.1,2015
47,high,8.2,2015
48,high,8.3,2015
49,high,8.4,2015
50,high,8.5,2015
51,high,8.6,2015
52,high,8.7,2015
53,high,9.1,2015
54,high,9.2,2015
55,high,9.3,2015
56,high,9.4,2015
57,high,9.5,2015
58,high,9.6,2015
59,high,10.1,2015
60,high,10.2,2015
61,high,10.3,2015
62,middle,10.9,2015
63,middle,7.7,2015
64,middle,7.6,2015
65,primary,9.2,2015
66,middle,9.4,2015
67,primary,9.3,2015
68,middle,11.2,2015
69,primary,9.1,2015
70,middle,7.3,2015
71,middle,10.7,2015
72,middle,10.3,2015
