id,req_year,req_id,school_type
0,2023,1.1,high
1,2023,1.2,high
2,2023,1.3,high
3,2023,1.4,high
4,2023,1.5,high
5,2023,1.6,high
6,2023,1.7,high
7,2023,1.8,high
8,2023,1.9,high
9,2023,2.1,high
10,2023,2.2,high
11,2023,2.3,high
12,2023,2.4,high
13,2023,2.5,high
14,2023,2.6,high
15,2023,3.1,high
16,2023,3.2,high
17,2023,3.3,high
18,2023,3.4,high
19,2023,3.5,high
20,2023,3.6,high
21,2023,4.1,high
22,2023,4.2,high
23,2023,5.1,high
24,2023,5.2,high
25,2023,5.3,high
26,2023,5.4,high
27,2023,5.5,high
28,2023,5.6,high
29,2023,5.7,high
30,2023,5.8,high
31,2023,5.9,high
32,2023,5.10,high
33,2023,5.11,high
34,2023,5.12,high
35,2023,5.13,high
36,2023,6.1,high
37,2023,6.2,high
38,2023,6.3,high
39,2023,6.4,high
40,2023,6.5,high
41,2023,6.6,high
42,2023,7.1,high
43,2023,7.2,high
44,2023,7.3,high
45,2023,7.4,high
46,2023,8.1,high
47,2023,8.2,high
48,2023,8.3,high
49,2023,8.4,high
50,2023,8.5,high
51,2023,8.6,high
52,2023,8.7,high
53,2023,8.8,high
54,2023,8.9,high
55,2023,8.10,high
56,2023,8.11,high
57,2023,9.1,high
58,2023,9.2,high
59,2023,9.3,high
60,2023,9.4,high
61,2023,9.5,high
62,2023,9.6,high
63,2023,10.1,high
64,2023,10.2,high
65,2023,10.3,high
66,2023,10.4,high
67,2023,10.5,high
68,2023,11.1,high
69,2023,11.2,high
70,2023,12.1,high
71,2023,12.2,high
72,2023,12.3,high
73,2023,13.1,high
